9.243595087383914506e+05	4.353887207691882133e+09	3.130640579859972000e+10	2.415034570899921306e+19	7.744762277369043879e-01
9.118781026943091303e+06	4.446953603552040863e+10	3.203504874847501831e+11	2.478498309148105769e+20	1.515976306565118836e-01
2.910848839177502785e+06	1.409562230524106598e+10	1.015059711485981750e+11	7.848943462909232742e+19	6.171391524883684809e-01
8.906704172743193340e+05	4.267017463050340652e+09	3.070975921702026749e+10	2.372420861677288243e+19	3.684785175175376848e-01
1.141121847826023441e+05	5.552299622551457882e+08	3.999269951456665516e+09	3.093546894294667776e+18	7.070934672160253953e-01
2.687201364491417771e+05	1.290237645595945358e+09	9.286857060465908051e+09	7.175587068031989760e+18	2.249430691620211420e-01
1.124107707074619393e+05	4.851904485042288303e+08	3.470948263187655449e+09	2.655774147418711040e+18	2.469197003332690155e-01
2.374878950675956905e+06	1.140846201894942093e+10	8.211737313433447266e+10	6.345082128692516454e+19	7.616271237606113687e-01
4.060981334539067466e+06	1.986171422854141998e+10	1.431009028678329468e+11	1.107398321153671660e+20	7.484875607265107922e-01
8.338198585842164175e+04	1.266642541014861315e+08	8.045646980118267536e+08	4.907286481523795200e+17	4.185271230907347539e-01
